prompt_version,case_id,run,model,raw_response,intent,reasoning,format_ok,parse_error,reasoning_word_count,latency_s,input_tokens,output_tokens,total_tokens
v1,1,1,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""High Intent"",
  ""reasoning"": ""The lead's company size is 500, indicating a mid-market company that is likely to be interested in our data-driven platforms. Additionally, the lead's industry is Finance, which aligns with our company's focus. The lead is also from Europe, which is our target region. Furthermore, the lead has a high website dwell time of 4 minutes, suggesting that they are engaged with our content. Although the lead has only made one demo request, it is a positive sign that they are interested in learning more. Finally, the lead's email response is positive, indicating that they are interested in our services and are looking for more information.""
}",High Intent,"The lead's company size is 500, indicating a mid-market company that is likely to be interested in our data-driven platforms. Additionally, the lead's industry is Finance, which aligns with our company's focus. The lead is also from Europe, which is our target region. Furthermore, the lead has a high website dwell time of 4 minutes, suggesting that they are engaged with our content. Although the lead has only made one demo request, it is a positive sign that they are interested in learning more. Finally, the lead's email response is positive, indicating that they are interested in our services and are looking for more information.",True,,105,1.0,173,146,319
v1,1,2,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""High Intent"",
  ""reasoning"": ""The lead's company size is 500, indicating a mid-market company that is likely to be interested in our data-driven platforms. Additionally, the lead's industry is Finance, which aligns with our company's focus. The lead is also from Europe, which is our target region. Furthermore, the lead has a high website dwell time of 4 minutes, suggesting that they are engaged with our content. Although the lead has only made one demo request, it is a positive sign that they are interested in learning more. Finally, the lead's email response is positive, indicating that they are interested in our services and are looking for more information.""
}",High Intent,"The lead's company size is 500, indicating a mid-market company that is likely to be interested in our data-driven platforms. Additionally, the lead's industry is Finance, which aligns with our company's focus. The lead is also from Europe, which is our target region. Furthermore, the lead has a high website dwell time of 4 minutes, suggesting that they are engaged with our content. Although the lead has only made one demo request, it is a positive sign that they are interested in learning more. Finally, the lead's email response is positive, indicating that they are interested in our services and are looking for more information.",True,,105,0.86,173,146,319
v1,1,3,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""High Intent"",
  ""reasoning"": ""The lead's company size is 500, indicating a mid-market company that is likely to be interested in our data-driven platforms. Additionally, the lead's industry is Finance, which aligns with our company's focus. The lead is also from Europe, which is our target region. Furthermore, the lead has a high website dwell time of 4 minutes, suggesting that they are engaged with our content. Although the lead has only made one demo request, it is a positive sign that they are interested in learning more. Finally, the lead's email response is positive, indicating that they are interested in our services and are looking for more information.""
}",High Intent,"The lead's company size is 500, indicating a mid-market company that is likely to be interested in our data-driven platforms. Additionally, the lead's industry is Finance, which aligns with our company's focus. The lead is also from Europe, which is our target region. Furthermore, the lead has a high website dwell time of 4 minutes, suggesting that they are engaged with our content. Although the lead has only made one demo request, it is a positive sign that they are interested in learning more. Finally, the lead's email response is positive, indicating that they are interested in our services and are looking for more information.",True,,105,0.87,173,146,319
v1,1,4,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""High Intent"",
  ""reasoning"": ""The lead's company size of 500 suggests a mid-market business, aligning with the company's target market. The lead is from the Finance industry, which is a key sector for the company's services. The lead is also from Europe, which is the company's primary market. The 4-minute website dwell time indicates a high level of interest in the company's offerings. Although the lead only requested one demo, it's a positive sign that they're interested in exploring the product further. The email response, 'Looks interesting, could you send more info?', suggests a genuine interest in learning more about the company's services.""
}",High Intent,"The lead's company size of 500 suggests a mid-market business, aligning with the company's target market. The lead is from the Finance industry, which is a key sector for the company's services. The lead is also from Europe, which is the company's primary market. The 4-minute website dwell time indicates a high level of interest in the company's offerings. Although the lead only requested one demo, it's a positive sign that they're interested in exploring the product further. The email response, 'Looks interesting, could you send more info?', suggests a genuine interest in learning more about the company's services.",True,,99,0.92,173,143,316
v1,1,5,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""High Intent"",
  ""reasoning"": ""The lead's company size is 500, indicating a mid-market company that is likely to be interested in our data-driven platforms. Additionally, the lead's industry is Finance, which aligns with our company's focus. The lead is also from Europe, which is our target region. Furthermore, the lead has a high website dwell time of 4 minutes, suggesting that they are engaged with our content. Although the lead has only made one demo request, it is a positive sign that they are interested in learning more. Finally, the lead's email response is positive, indicating that they are interested in our services and are looking for more information.""
}",High Intent,"The lead's company size is 500, indicating a mid-market company that is likely to be interested in our data-driven platforms. Additionally, the lead's industry is Finance, which aligns with our company's focus. The lead is also from Europe, which is our target region. Furthermore, the lead has a high website dwell time of 4 minutes, suggesting that they are engaged with our content. Although the lead has only made one demo request, it is a positive sign that they are interested in learning more. Finally, the lead's email response is positive, indicating that they are interested in our services and are looking for more information.",True,,105,0.82,173,146,319
v1,14,1,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""Low Intent"",
  ""reasoning"": ""The lead's low website dwell time (40 sec) and lack of email response suggest a low level of engagement. Additionally, the lead has only requested one demo, which is a relatively low number compared to other leads. While the company size is large (5000 employees), the industry (Manufacturing) and region (North America) do not necessarily indicate a high level of interest in the company's data-driven mid-market platforms.""
}",Low Intent,"The lead's low website dwell time (40 sec) and lack of email response suggest a low level of engagement. Additionally, the lead has only requested one demo, which is a relatively low number compared to other leads. While the company size is large (5000 employees), the industry (Manufacturing) and region (North America) do not necessarily indicate a high level of interest in the company's data-driven mid-market platforms.",True,,67,0.62,168,103,271
v1,14,2,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""Low Intent"",
  ""reasoning"": ""The lead's low website dwell time (40 sec) and lack of email response suggest a low level of engagement. Additionally, the lead has only requested one demo, which is a relatively low number compared to other leads. While the company size is large (5000 employees), the industry (Manufacturing) and region (North America) do not necessarily indicate a high level of interest in the company's data-driven mid-market platforms.""
}",Low Intent,"The lead's low website dwell time (40 sec) and lack of email response suggest a low level of engagement. Additionally, the lead has only requested one demo, which is a relatively low number compared to other leads. While the company size is large (5000 employees), the industry (Manufacturing) and region (North America) do not necessarily indicate a high level of interest in the company's data-driven mid-market platforms.",True,,67,0.6,168,103,271
v1,14,3,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""Low Intent"",
  ""reasoning"": ""The lead's low website dwell time (40 sec) and lack of email response suggest a low level of engagement. Additionally, the lead has only requested one demo, which is a relatively low number compared to other leads. While the company size is large (5000 employees), the industry (Manufacturing) and region (North America) do not necessarily indicate a high level of intent for the company's specific services.""
}",Low Intent,"The lead's low website dwell time (40 sec) and lack of email response suggest a low level of engagement. Additionally, the lead has only requested one demo, which is a relatively low number compared to other leads. While the company size is large (5000 employees), the industry (Manufacturing) and region (North America) do not necessarily indicate a high level of intent for the company's specific services.",True,,66,0.61,168,100,268
v1,14,4,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""Low Intent"",
  ""reasoning"": ""The lead's low website dwell time (40 sec) and lack of email response suggest a low level of engagement. Additionally, the lead has only requested one demo, which is a relatively low number compared to other leads. While the company size is large (5000 employees), the industry (Manufacturing) and region (North America) do not necessarily indicate a high level of interest in the company's data-driven mid-market platforms.""
}",Low Intent,"The lead's low website dwell time (40 sec) and lack of email response suggest a low level of engagement. Additionally, the lead has only requested one demo, which is a relatively low number compared to other leads. While the company size is large (5000 employees), the industry (Manufacturing) and region (North America) do not necessarily indicate a high level of interest in the company's data-driven mid-market platforms.",True,,67,0.61,168,103,271
v1,14,5,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""Low Intent"",
  ""reasoning"": ""The lead's low website dwell time (40 sec) and lack of email response suggest a low level of engagement. Additionally, the lead has only requested one demo, which is a relatively low number compared to other leads. While the company size is large (5000 employees), the industry (Manufacturing) and region (North America) do not necessarily indicate a high level of interest in the company's data-driven mid-market platforms.""
}",Low Intent,"The lead's low website dwell time (40 sec) and lack of email response suggest a low level of engagement. Additionally, the lead has only requested one demo, which is a relatively low number compared to other leads. While the company size is large (5000 employees), the industry (Manufacturing) and region (North America) do not necessarily indicate a high level of interest in the company's data-driven mid-market platforms.",True,,67,0.62,168,103,271
