analysis,model,high_intent_rate,high_intent_n,n,condition,mean_mar,median_mar,sd_mar,n_profiles,alignment_rate,aligned_n,final_code,rate
H4a1_overall_score,apertus-70b-instruct-2509,0.7292307692307692,237.0,325.0,,,,,,,,,
H4a1_overall_score,meta-llama-3.1-8b-instruct,0.5107692307692308,166.0,325.0,,,,,,,,,
H4a1_overall_score,openai-gpt-oss-120b,0.7784615384615384,253.0,325.0,,,,,,,,,
H4a2_perturbation_sensitivity,apertus-70b-instruct-2509,0.8333333333333334,125.0,150.0,favorable,,,,,,,,
H4a2_perturbation_sensitivity,apertus-70b-instruct-2509,0.6133333333333333,92.0,150.0,unfavorable,,,,,,,,
H4a2_perturbation_sensitivity,meta-llama-3.1-8b-instruct,0.66,99.0,150.0,favorable,,,,,,,,
H4a2_perturbation_sensitivity,meta-llama-3.1-8b-instruct,0.3466666666666667,52.0,150.0,unfavorable,,,,,,,,
H4a2_perturbation_sensitivity,openai-gpt-oss-120b,0.94,141.0,150.0,favorable,,,,,,,,
H4a2_perturbation_sensitivity,openai-gpt-oss-120b,0.6066666666666667,91.0,150.0,unfavorable,,,,,,,,
H4b1_score_stability,apertus-70b-instruct-2509,,,,,0.9938461538461537,1.0,0.04961389383568339,65.0,,,,
H4b1_score_stability,meta-llama-3.1-8b-instruct,,,,,0.9753846153846154,1.0,0.09019210267321298,65.0,,,,
H4b1_score_stability,openai-gpt-oss-120b,,,,,0.96,1.0,0.11291589790636214,65.0,,,,
H4b2_explanation_stability,apertus-70b-instruct-2509,,,,,0.9566666666666667,1.0,0.11103010229581525,60.0,,,,
H4b2_explanation_stability,meta-llama-3.1-8b-instruct,,,,,0.92,1.0,0.16954575403667413,60.0,,,,
H4b2_explanation_stability,openai-gpt-oss-120b,,,,,0.9700000000000001,1.0,0.10300567698687982,60.0,,,,
H4c1_explanation_alignment,apertus-70b-instruct-2509,,,300.0,,,,,,0.53,159.0,,
H4c1_explanation_alignment,meta-llama-3.1-8b-instruct,,,300.0,,,,,,0.55,165.0,,
H4c1_explanation_alignment,openai-gpt-oss-120b,,,300.0,,,,,,0.4266666666666667,128.0,,
H4c2_code_distribution_exploratory,apertus-70b-instruct-2509,,,,,,,,,,,0,0.4066666666666667
H4c2_code_distribution_exploratory,meta-llama-3.1-8b-instruct,,,,,,,,,,,0,0.33666666666666667
H4c2_code_distribution_exploratory,openai-gpt-oss-120b,,,,,,,,,,,0,0.4633333333333333
H4c2_code_distribution_exploratory,apertus-70b-instruct-2509,,,,,,,,,,,1,0.05333333333333334
H4c2_code_distribution_exploratory,meta-llama-3.1-8b-instruct,,,,,,,,,,,1,0.05
H4c2_code_distribution_exploratory,openai-gpt-oss-120b,,,,,,,,,,,1,0.0
H4c2_code_distribution_exploratory,apertus-70b-instruct-2509,,,,,,,,,,,2,0.01
H4c2_code_distribution_exploratory,meta-llama-3.1-8b-instruct,,,,,,,,,,,2,0.06333333333333334
H4c2_code_distribution_exploratory,openai-gpt-oss-120b,,,,,,,,,,,2,0.11
H4c2_code_distribution_exploratory,apertus-70b-instruct-2509,,,,,,,,,,,3,0.53
H4c2_code_distribution_exploratory,meta-llama-3.1-8b-instruct,,,,,,,,,,,3,0.55
H4c2_code_distribution_exploratory,openai-gpt-oss-120b,,,,,,,,,,,3,0.4266666666666667
