profile_id,base_profile,feature,model,n_runs,modal_count,mar,n_unique_outputs
A_company_size_high,A,company_size,apertus-70b-instruct-2509,5,5,1.0,1
A_company_size_high,A,company_size,meta-llama-3.1-8b-instruct,5,2,0.4,3
A_company_size_high,A,company_size,openai-gpt-oss-120b,5,5,1.0,1
A_company_size_low,A,company_size,apertus-70b-instruct-2509,5,5,1.0,1
A_company_size_low,A,company_size,meta-llama-3.1-8b-instruct,5,5,1.0,1
A_company_size_low,A,company_size,openai-gpt-oss-120b,5,4,0.8,2
A_demo_requests_high,A,demo_requests,apertus-70b-instruct-2509,5,5,1.0,1
A_demo_requests_high,A,demo_requests,meta-llama-3.1-8b-instruct,5,2,0.4,3
A_demo_requests_high,A,demo_requests,openai-gpt-oss-120b,5,5,1.0,1
A_demo_requests_low,A,demo_requests,apertus-70b-instruct-2509,5,3,0.6,2
A_demo_requests_low,A,demo_requests,meta-llama-3.1-8b-instruct,5,5,1.0,1
A_demo_requests_low,A,demo_requests,openai-gpt-oss-120b,5,5,1.0,1
A_email_response_icp,A,email_response,apertus-70b-instruct-2509,5,5,1.0,1
A_email_response_icp,A,email_response,meta-llama-3.1-8b-instruct,5,5,1.0,1
A_email_response_icp,A,email_response,openai-gpt-oss-120b,5,5,1.0,1
A_email_response_non-icp,A,email_response,apertus-70b-instruct-2509,5,5,1.0,1
A_email_response_non-icp,A,email_response,meta-llama-3.1-8b-instruct,5,5,1.0,1
A_email_response_non-icp,A,email_response,openai-gpt-oss-120b,5,5,1.0,1
A_industry_icp,A,industry,apertus-70b-instruct-2509,5,5,1.0,1
A_industry_icp,A,industry,meta-llama-3.1-8b-instruct,5,5,1.0,1
A_industry_icp,A,industry,openai-gpt-oss-120b,5,5,1.0,1
A_industry_non-icp,A,industry,apertus-70b-instruct-2509,5,4,0.8,2
A_industry_non-icp,A,industry,meta-llama-3.1-8b-instruct,5,5,1.0,1
A_industry_non-icp,A,industry,openai-gpt-oss-120b,5,5,1.0,1
A_region_icp,A,region,apertus-70b-instruct-2509,5,5,1.0,1
A_region_icp,A,region,meta-llama-3.1-8b-instruct,5,5,1.0,1
A_region_icp,A,region,openai-gpt-oss-120b,5,5,1.0,1
A_region_non-icp,A,region,apertus-70b-instruct-2509,5,5,1.0,1
A_region_non-icp,A,region,meta-llama-3.1-8b-instruct,5,5,1.0,1
A_region_non-icp,A,region,openai-gpt-oss-120b,5,5,1.0,1
