case,model,profile_id,perturbed_feature,n_runs,majority_code,majority_share,consistent
A_company_size_high | apertus-70b-instruct-2509,apertus-70b-instruct-2509,A_company_size_high,company_size,5,3.0,1.0,1
A_company_size_high | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,A_company_size_high,company_size,5,3.0,0.8,0
A_company_size_high | openai-gpt-oss-120b,openai-gpt-oss-120b,A_company_size_high,company_size,5,0.0,1.0,1
A_company_size_low | apertus-70b-instruct-2509,apertus-70b-instruct-2509,A_company_size_low,company_size,5,1.0,1.0,1
A_company_size_low | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,A_company_size_low,company_size,5,2.0,1.0,1
A_company_size_low | openai-gpt-oss-120b,openai-gpt-oss-120b,A_company_size_low,company_size,5,0.0,0.8,0
A_demo_requests_high | apertus-70b-instruct-2509,apertus-70b-instruct-2509,A_demo_requests_high,demo_requests,5,3.0,1.0,1
A_demo_requests_high | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,A_demo_requests_high,demo_requests,5,3.0,0.6,0
A_demo_requests_high | openai-gpt-oss-120b,openai-gpt-oss-120b,A_demo_requests_high,demo_requests,5,3.0,1.0,1
A_demo_requests_low | apertus-70b-instruct-2509,apertus-70b-instruct-2509,A_demo_requests_low,demo_requests,5,3.0,0.6,0
A_demo_requests_low | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,A_demo_requests_low,demo_requests,5,2.0,1.0,1
A_demo_requests_low | openai-gpt-oss-120b,openai-gpt-oss-120b,A_demo_requests_low,demo_requests,5,3.0,1.0,1
A_email_response_icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,A_email_response_icp,email_response,5,3.0,1.0,1
A_email_response_icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,A_email_response_icp,email_response,5,3.0,1.0,1
A_email_response_icp | openai-gpt-oss-120b,openai-gpt-oss-120b,A_email_response_icp,email_response,5,3.0,1.0,1
A_email_response_non-icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,A_email_response_non-icp,email_response,5,3.0,1.0,1
A_email_response_non-icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,A_email_response_non-icp,email_response,5,3.0,1.0,1
A_email_response_non-icp | openai-gpt-oss-120b,openai-gpt-oss-120b,A_email_response_non-icp,email_response,5,3.0,0.8,0
A_industry_icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,A_industry_icp,industry,5,0.0,1.0,1
A_industry_icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,A_industry_icp,industry,5,3.0,1.0,1
