profile_id,base_profile,model,feature,feature_type,n_explanations,n_code3,alignment_share,n_code0,n_code1,n_code2,complete_alignment
A_company_size_high,A,apertus-70b-instruct-2509,company_size,Firmographic,5,5,1.0,0,0,0,1
A_company_size_high,A,meta-llama-3.1-8b-instruct,company_size,Firmographic,5,2,0.4,0,2,1,0
A_company_size_high,A,openai-gpt-oss-120b,company_size,Firmographic,5,0,0.0,5,0,0,0
A_company_size_low,A,apertus-70b-instruct-2509,company_size,Firmographic,5,0,0.0,0,5,0,0
A_company_size_low,A,meta-llama-3.1-8b-instruct,company_size,Firmographic,5,0,0.0,0,0,5,0
A_company_size_low,A,openai-gpt-oss-120b,company_size,Firmographic,5,0,0.0,4,0,1,0
A_demo_requests_high,A,apertus-70b-instruct-2509,demo_requests,Behavioral,5,5,1.0,0,0,0,1
A_demo_requests_high,A,meta-llama-3.1-8b-instruct,demo_requests,Behavioral,5,2,0.4,2,1,0,0
A_demo_requests_high,A,openai-gpt-oss-120b,demo_requests,Behavioral,5,5,1.0,0,0,0,1
A_demo_requests_low,A,apertus-70b-instruct-2509,demo_requests,Behavioral,5,3,0.6,2,0,0,0
A_demo_requests_low,A,meta-llama-3.1-8b-instruct,demo_requests,Behavioral,5,5,1.0,0,0,0,1
A_demo_requests_low,A,openai-gpt-oss-120b,demo_requests,Behavioral,5,5,1.0,0,0,0,1
A_email_response_icp,A,apertus-70b-instruct-2509,email_response,Behavioral,5,5,1.0,0,0,0,1
A_email_response_icp,A,meta-llama-3.1-8b-instruct,email_response,Behavioral,5,5,1.0,0,0,0,1
A_email_response_icp,A,openai-gpt-oss-120b,email_response,Behavioral,5,5,1.0,0,0,0,1
A_email_response_non-icp,A,apertus-70b-instruct-2509,email_response,Behavioral,5,5,1.0,0,0,0,1
A_email_response_non-icp,A,meta-llama-3.1-8b-instruct,email_response,Behavioral,5,5,1.0,0,0,0,1
A_email_response_non-icp,A,openai-gpt-oss-120b,email_response,Behavioral,5,5,1.0,0,0,0,1
A_industry_icp,A,apertus-70b-instruct-2509,industry,Firmographic,5,0,0.0,5,0,0,0
A_industry_icp,A,meta-llama-3.1-8b-instruct,industry,Firmographic,5,5,1.0,0,0,0,1
A_industry_icp,A,openai-gpt-oss-120b,industry,Firmographic,5,0,0.0,5,0,0,0
A_industry_non-icp,A,apertus-70b-instruct-2509,industry,Firmographic,5,4,0.8,1,0,0,0
A_industry_non-icp,A,meta-llama-3.1-8b-instruct,industry,Firmographic,5,5,1.0,0,0,0,1
A_industry_non-icp,A,openai-gpt-oss-120b,industry,Firmographic,5,0,0.0,5,0,0,0
A_region_icp,A,apertus-70b-instruct-2509,region,Firmographic,5,0,0.0,5,0,0,0
A_region_icp,A,meta-llama-3.1-8b-instruct,region,Firmographic,5,0,0.0,5,0,0,0
A_region_icp,A,openai-gpt-oss-120b,region,Firmographic,5,0,0.0,5,0,0,0
A_region_non-icp,A,apertus-70b-instruct-2509,region,Firmographic,5,0,0.0,5,0,0,0
A_region_non-icp,A,meta-llama-3.1-8b-instruct,region,Firmographic,5,0,0.0,5,0,0,0
A_region_non-icp,A,openai-gpt-oss-120b,region,Firmographic,5,0,0.0,5,0,0,0
A_website_dwell_time_high,A,apertus-70b-instruct-2509,website_dwell_time,Behavioral,5,5,1.0,0,0,0,1
A_website_dwell_time_high,A,meta-llama-3.1-8b-instruct,website_dwell_time,Behavioral,5,2,0.4,1,0,2,0
A_website_dwell_time_high,A,openai-gpt-oss-120b,website_dwell_time,Behavioral,5,5,1.0,0,0,0,1
A_website_dwell_time_low,A,apertus-70b-instruct-2509,website_dwell_time,Behavioral,5,0,0.0,5,0,0,0
A_website_dwell_time_low,A,meta-llama-3.1-8b-instruct,website_dwell_time,Behavioral,5,5,1.0,0,0,0,1
A_website_dwell_time_low,A,openai-gpt-oss-120b,website_dwell_time,Behavioral,5,3,0.6,0,0,2,0
B_company_size_high,B,apertus-70b-instruct-2509,company_size,Firmographic,5,0,0.0,5,0,0,0
B_company_size_high,B,meta-llama-3.1-8b-instruct,company_size,Firmographic,5,0,0.0,0,0,5,0
B_company_size_high,B,openai-gpt-oss-120b,company_size,Firmographic,5,0,0.0,5,0,0,0
B_company_size_low,B,apertus-70b-instruct-2509,company_size,Firmographic,5,0,0.0,0,5,0,0
B_company_size_low,B,meta-llama-3.1-8b-instruct,company_size,Firmographic,5,5,1.0,0,0,0,1
B_company_size_low,B,openai-gpt-oss-120b,company_size,Firmographic,5,0,0.0,5,0,0,0
B_demo_requests_high,B,apertus-70b-instruct-2509,demo_requests,Behavioral,5,5,1.0,0,0,0,1
B_demo_requests_high,B,meta-llama-3.1-8b-instruct,demo_requests,Behavioral,5,1,0.2,4,0,0,0
B_demo_requests_high,B,openai-gpt-oss-120b,demo_requests,Behavioral,5,5,1.0,0,0,0,1
B_demo_requests_low,B,apertus-70b-instruct-2509,demo_requests,Behavioral,5,5,1.0,0,0,0,1
B_demo_requests_low,B,meta-llama-3.1-8b-instruct,demo_requests,Behavioral,5,5,1.0,0,0,0,1
B_demo_requests_low,B,openai-gpt-oss-120b,demo_requests,Behavioral,5,5,1.0,0,0,0,1
B_email_response_icp,B,apertus-70b-instruct-2509,email_response,Behavioral,5,5,1.0,0,0,0,1
B_email_response_icp,B,meta-llama-3.1-8b-instruct,email_response,Behavioral,5,5,1.0,0,0,0,1
B_email_response_icp,B,openai-gpt-oss-120b,email_response,Behavioral,5,5,1.0,0,0,0,1
B_email_response_non-icp,B,apertus-70b-instruct-2509,email_response,Behavioral,5,5,1.0,0,0,0,1
B_email_response_non-icp,B,meta-llama-3.1-8b-instruct,email_response,Behavioral,5,5,1.0,0,0,0,1
B_email_response_non-icp,B,openai-gpt-oss-120b,email_response,Behavioral,5,5,1.0,0,0,0,1
B_industry_icp,B,apertus-70b-instruct-2509,industry,Firmographic,5,0,0.0,5,0,0,0
B_industry_icp,B,meta-llama-3.1-8b-instruct,industry,Firmographic,5,0,0.0,5,0,0,0
B_industry_icp,B,openai-gpt-oss-120b,industry,Firmographic,5,0,0.0,5,0,0,0
B_industry_non-icp,B,apertus-70b-instruct-2509,industry,Firmographic,5,0,0.0,2,0,3,0
B_industry_non-icp,B,meta-llama-3.1-8b-instruct,industry,Firmographic,5,0,0.0,5,0,0,0
B_industry_non-icp,B,openai-gpt-oss-120b,industry,Firmographic,5,0,0.0,5,0,0,0
B_region_icp,B,apertus-70b-instruct-2509,region,Firmographic,5,0,0.0,5,0,0,0
B_region_icp,B,meta-llama-3.1-8b-instruct,region,Firmographic,5,0,0.0,5,0,0,0
B_region_icp,B,openai-gpt-oss-120b,region,Firmographic,5,0,0.0,5,0,0,0
B_region_non-icp,B,apertus-70b-instruct-2509,region,Firmographic,5,0,0.0,5,0,0,0
B_region_non-icp,B,meta-llama-3.1-8b-instruct,region,Firmographic,5,0,0.0,5,0,0,0
B_region_non-icp,B,openai-gpt-oss-120b,region,Firmographic,5,0,0.0,5,0,0,0
B_website_dwell_time_high,B,apertus-70b-instruct-2509,website_dwell_time,Behavioral,5,2,0.4,3,0,0,0
B_website_dwell_time_high,B,meta-llama-3.1-8b-instruct,website_dwell_time,Behavioral,5,5,1.0,0,0,0,1
B_website_dwell_time_high,B,openai-gpt-oss-120b,website_dwell_time,Behavioral,5,5,1.0,0,0,0,1
B_website_dwell_time_low,B,apertus-70b-instruct-2509,website_dwell_time,Behavioral,5,3,0.6,0,2,0,0
B_website_dwell_time_low,B,meta-llama-3.1-8b-instruct,website_dwell_time,Behavioral,5,5,1.0,0,0,0,1
B_website_dwell_time_low,B,openai-gpt-oss-120b,website_dwell_time,Behavioral,5,5,1.0,0,0,0,1
C_company_size_high,C,apertus-70b-instruct-2509,company_size,Firmographic,5,5,1.0,0,0,0,1
C_company_size_high,C,meta-llama-3.1-8b-instruct,company_size,Firmographic,5,5,1.0,0,0,0,1
C_company_size_high,C,openai-gpt-oss-120b,company_size,Firmographic,5,0,0.0,5,0,0,0
C_company_size_low,C,apertus-70b-instruct-2509,company_size,Firmographic,5,5,1.0,0,0,0,1
C_company_size_low,C,meta-llama-3.1-8b-instruct,company_size,Firmographic,5,5,1.0,0,0,0,1
C_company_size_low,C,openai-gpt-oss-120b,company_size,Firmographic,5,0,0.0,5,0,0,0
C_demo_requests_high,C,apertus-70b-instruct-2509,demo_requests,Behavioral,5,5,1.0,0,0,0,1
C_demo_requests_high,C,meta-llama-3.1-8b-instruct,demo_requests,Behavioral,5,5,1.0,0,0,0,1
C_demo_requests_high,C,openai-gpt-oss-120b,demo_requests,Behavioral,5,5,1.0,0,0,0,1
C_demo_requests_low,C,apertus-70b-instruct-2509,demo_requests,Behavioral,5,0,0.0,5,0,0,0
C_demo_requests_low,C,meta-llama-3.1-8b-instruct,demo_requests,Behavioral,5,0,0.0,4,0,1,0
C_demo_requests_low,C,openai-gpt-oss-120b,demo_requests,Behavioral,5,0,0.0,2,0,3,0
C_email_response_icp,C,apertus-70b-instruct-2509,email_response,Behavioral,5,5,1.0,0,0,0,1
C_email_response_icp,C,meta-llama-3.1-8b-instruct,email_response,Behavioral,5,3,0.6,0,2,0,0
C_email_response_icp,C,openai-gpt-oss-120b,email_response,Behavioral,5,5,1.0,0,0,0,1
C_email_response_non-icp,C,apertus-70b-instruct-2509,email_response,Behavioral,5,5,1.0,0,0,0,1
C_email_response_non-icp,C,meta-llama-3.1-8b-instruct,email_response,Behavioral,5,5,1.0,0,0,0,1
C_email_response_non-icp,C,openai-gpt-oss-120b,email_response,Behavioral,5,3,0.6,0,0,2,0
C_industry_icp,C,apertus-70b-instruct-2509,industry,Firmographic,5,0,0.0,5,0,0,0
C_industry_icp,C,meta-llama-3.1-8b-instruct,industry,Firmographic,5,0,0.0,0,5,0,0
C_industry_icp,C,openai-gpt-oss-120b,industry,Firmographic,5,0,0.0,5,0,0,0
C_industry_non-icp,C,apertus-70b-instruct-2509,industry,Firmographic,5,1,0.2,4,0,0,0
C_industry_non-icp,C,meta-llama-3.1-8b-instruct,industry,Firmographic,5,2,0.4,3,0,0,0
C_industry_non-icp,C,openai-gpt-oss-120b,industry,Firmographic,5,0,0.0,5,0,0,0
C_region_icp,C,apertus-70b-instruct-2509,region,Firmographic,5,0,0.0,5,0,0,0
C_region_icp,C,meta-llama-3.1-8b-instruct,region,Firmographic,5,0,0.0,5,0,0,0
C_region_icp,C,openai-gpt-oss-120b,region,Firmographic,5,0,0.0,5,0,0,0
C_region_non-icp,C,apertus-70b-instruct-2509,region,Firmographic,5,0,0.0,5,0,0,0
C_region_non-icp,C,meta-llama-3.1-8b-instruct,region,Firmographic,5,0,0.0,4,1,0,0
C_region_non-icp,C,openai-gpt-oss-120b,region,Firmographic,5,0,0.0,5,0,0,0
C_website_dwell_time_high,C,apertus-70b-instruct-2509,website_dwell_time,Behavioral,5,5,1.0,0,0,0,1
C_website_dwell_time_high,C,meta-llama-3.1-8b-instruct,website_dwell_time,Behavioral,5,5,1.0,0,0,0,1
C_website_dwell_time_high,C,openai-gpt-oss-120b,website_dwell_time,Behavioral,5,5,1.0,0,0,0,1
C_website_dwell_time_low,C,apertus-70b-instruct-2509,website_dwell_time,Behavioral,5,0,0.0,5,0,0,0
C_website_dwell_time_low,C,meta-llama-3.1-8b-instruct,website_dwell_time,Behavioral,5,0,0.0,5,0,0,0
C_website_dwell_time_low,C,openai-gpt-oss-120b,website_dwell_time,Behavioral,5,0,0.0,0,0,5,0
D_company_size_high,D,apertus-70b-instruct-2509,company_size,Firmographic,5,5,1.0,0,0,0,1
D_company_size_high,D,meta-llama-3.1-8b-instruct,company_size,Firmographic,5,3,0.6,0,2,0,0
D_company_size_high,D,openai-gpt-oss-120b,company_size,Firmographic,5,0,0.0,5,0,0,0
D_company_size_low,D,apertus-70b-instruct-2509,company_size,Firmographic,5,0,0.0,5,0,0,0
D_company_size_low,D,meta-llama-3.1-8b-instruct,company_size,Firmographic,5,5,1.0,0,0,0,1
D_company_size_low,D,openai-gpt-oss-120b,company_size,Firmographic,5,0,0.0,0,0,5,0
D_demo_requests_high,D,apertus-70b-instruct-2509,demo_requests,Behavioral,5,5,1.0,0,0,0,1
D_demo_requests_high,D,meta-llama-3.1-8b-instruct,demo_requests,Behavioral,5,4,0.8,0,1,0,0
D_demo_requests_high,D,openai-gpt-oss-120b,demo_requests,Behavioral,5,5,1.0,0,0,0,1
D_demo_requests_low,D,apertus-70b-instruct-2509,demo_requests,Behavioral,5,0,0.0,5,0,0,0
D_demo_requests_low,D,meta-llama-3.1-8b-instruct,demo_requests,Behavioral,5,5,1.0,0,0,0,1
D_demo_requests_low,D,openai-gpt-oss-120b,demo_requests,Behavioral,5,0,0.0,0,0,5,0
D_email_response_icp,D,apertus-70b-instruct-2509,email_response,Behavioral,5,5,1.0,0,0,0,1
D_email_response_icp,D,meta-llama-3.1-8b-instruct,email_response,Behavioral,5,5,1.0,0,0,0,1
D_email_response_icp,D,openai-gpt-oss-120b,email_response,Behavioral,5,5,1.0,0,0,0,1
D_email_response_non-icp,D,apertus-70b-instruct-2509,email_response,Behavioral,5,5,1.0,0,0,0,1
D_email_response_non-icp,D,meta-llama-3.1-8b-instruct,email_response,Behavioral,5,5,1.0,0,0,0,1
D_email_response_non-icp,D,openai-gpt-oss-120b,email_response,Behavioral,5,5,1.0,0,0,0,1
D_industry_icp,D,apertus-70b-instruct-2509,industry,Firmographic,5,4,0.8,1,0,0,0
D_industry_icp,D,meta-llama-3.1-8b-instruct,industry,Firmographic,5,5,1.0,0,0,0,1
D_industry_icp,D,openai-gpt-oss-120b,industry,Firmographic,5,0,0.0,5,0,0,0
