profile_id,run,model,perturbed_feature,intent,reasoning,suggested_code,suggestion_reason,final_code,checked
A_company_size_high,1,apertus-70b-instruct-2509,company_size,High Intent,"Company size (10000) and industry (Finance) suggest a large potential for data analytics and AI integration. Website dwell time (4 min) and demo request indicate active interest. Email response 'Looks interesting, could you send more info?' suggests readiness to engage further.",3,supporting / causal,3,X
A_company_size_high,2,apertus-70b-instruct-2509,company_size,High Intent,"Company size (10000) and industry (Finance) indicate a large potential customer with a high need for data analytics and AI integration. Website dwell time (4 min) and demo request suggest active interest. Email response 'Looks interesting, could you send more info?' indicates readiness to engage further.",3,supporting / causal,3,X
A_company_size_high,3,apertus-70b-instruct-2509,company_size,High Intent,"Company size (10000) and industry (Finance) indicate a large potential customer with a high need for data analytics and AI integration. Website dwell time (4 min) and demo request suggest active interest. Email response 'Looks interesting, could you send more info?' indicates readiness to engage further.",3,supporting / causal,3,X
A_company_size_high,4,apertus-70b-instruct-2509,company_size,High Intent,"Company size (10000) and industry (Finance) indicate a large potential customer with a high need for data analytics and AI integration. Website dwell time (4 min) and demo request suggest active interest. Email response 'Looks interesting, could you send more info?' indicates readiness to engage further.",3,supporting / causal,3,X
A_company_size_high,5,apertus-70b-instruct-2509,company_size,High Intent,"Company size (10000) and industry (Finance) indicate a large potential customer with a high need for data analytics and AI integration. Website dwell time (4 min) and demo request suggest active interest. Email response 'Looks interesting, could you send more info?' indicates readiness to engage further.",3,supporting / causal,3,X
A_company_size_low,1,apertus-70b-instruct-2509,company_size,High Intent,"Company size 10 (Finance industry in Europe) with 4 min dwell time, 1 demo request, and positive email response indicate strong interest.",1,neutral / enumeration,1,X
A_company_size_low,2,apertus-70b-instruct-2509,company_size,High Intent,"Company size 10 (Finance industry in Europe) with 4 min dwell time, 1 demo request, and positive email response indicate strong interest.",1,neutral / enumeration,1,X
A_company_size_low,3,apertus-70b-instruct-2509,company_size,High Intent,"Company size 10 (Finance industry in Europe) with 4 min dwell time, 1 demo request, and positive email response indicate strong interest.",1,neutral / enumeration,1,X
A_company_size_low,4,apertus-70b-instruct-2509,company_size,High Intent,"Company size 10 (Finance industry in Europe) with 4 min dwell time, 1 demo request, and positive email response indicate strong interest.",1,neutral / enumeration,1,X
A_company_size_low,5,apertus-70b-instruct-2509,company_size,High Intent,"Company size 10 (Finance industry in Europe) with 4 min dwell time, 1 demo request, and positive email response indicate strong interest.",1,neutral / enumeration,1,X
A_demo_requests_high,1,apertus-70b-instruct-2509,demo_requests,High Intent,Company size (500) and industry (Finance) indicate a potential fit for our data analytics and AI solutions. Multiple demo requests and a positive email response further suggest strong interest.,3,supporting / causal,3,X
A_demo_requests_high,2,apertus-70b-instruct-2509,demo_requests,High Intent,Company size (500) and industry (Finance) indicate a high potential for purchase. Multiple demo requests and positive email response further support this classification.,3,supporting / causal,3,X
A_demo_requests_high,3,apertus-70b-instruct-2509,demo_requests,High Intent,Company size (500) and industry (Finance) indicate a high potential for purchase. Multiple demo requests and a positive email response further support this classification.,3,supporting / causal,3,X
A_demo_requests_high,4,apertus-70b-instruct-2509,demo_requests,High Intent,Company size (500) and industry (Finance) indicate a high potential for AI and data analytics adoption. Multiple demo requests and positive email response further support strong interest.,3,supporting / causal,3,X
A_demo_requests_high,5,apertus-70b-instruct-2509,demo_requests,High Intent,Company size (500) and industry (Finance) indicate a high potential for purchase. Multiple demo requests and positive email response further support this classification.,3,supporting / causal,3,X
A_demo_requests_low,1,apertus-70b-instruct-2509,demo_requests,Low Intent,"Company size 500 and industry Finance suggest potential interest, but no demo requests and only a neutral email response indicate low purchase intent.",3,supporting / causal,3,X
