profile_id,run,model,intent,reasoning
A_BASE,1,apertus-70b-instruct-2509,High Intent,"Company size (500) and industry (Finance) indicate a potential for significant investment in data analytics and AI. The website dwell time (4 min) and demo request suggest active interest. The email response 'Looks interesting, could you send more info?' indicates a willingness to learn more, further supporting high intent."
A_BASE,2,apertus-70b-instruct-2509,High Intent,Company size (500) and industry (Finance) indicate a potential for significant investment in data analytics platforms. The demo request and positive email response further suggest active interest.
A_BASE,3,apertus-70b-instruct-2509,High Intent,Company size (500) and industry (Finance) indicate a potential for significant investment in data analytics platforms. The demo request and positive email response further suggest active interest.
A_BASE,4,apertus-70b-instruct-2509,High Intent,Company size (500) and industry (Finance) indicate a potential for significant investment in data analytics platforms. The demo request and positive email response further suggest active interest.
A_BASE,5,apertus-70b-instruct-2509,High Intent,"Company size (500) and industry (Finance) indicate a potential for significant investment in data analytics and AI. The website dwell time (4 min) and demo request suggest active interest. Email response 'Looks interesting, could you send more info?' indicates readiness to engage further."
A_company_size_high,1,apertus-70b-instruct-2509,High Intent,"Company size (10000) and industry (Finance) suggest a large potential for data analytics and AI integration. Website dwell time (4 min) and demo request indicate active interest. Email response 'Looks interesting, could you send more info?' suggests readiness to engage further."
A_company_size_high,2,apertus-70b-instruct-2509,High Intent,"Company size (10000) and industry (Finance) indicate a large potential customer with a high need for data analytics and AI integration. Website dwell time (4 min) and demo request suggest active interest. Email response 'Looks interesting, could you send more info?' indicates readiness to engage further."
A_company_size_high,3,apertus-70b-instruct-2509,High Intent,"Company size (10000) and industry (Finance) indicate a large potential customer with a high need for data analytics and AI integration. Website dwell time (4 min) and demo request suggest active interest. Email response 'Looks interesting, could you send more info?' indicates readiness to engage further."
A_company_size_high,4,apertus-70b-instruct-2509,High Intent,"Company size (10000) and industry (Finance) indicate a large potential customer with a high need for data analytics and AI integration. Website dwell time (4 min) and demo request suggest active interest. Email response 'Looks interesting, could you send more info?' indicates readiness to engage further."
A_company_size_high,5,apertus-70b-instruct-2509,High Intent,"Company size (10000) and industry (Finance) indicate a large potential customer with a high need for data analytics and AI integration. Website dwell time (4 min) and demo request suggest active interest. Email response 'Looks interesting, could you send more info?' indicates readiness to engage further."
