base_profile,feature,feature_type,model,run,high,low,delta,sensitivity,fe_behavioral,cluster_pf
A,company_size,firmographic,apertus-70b-instruct-2509,1,1,1,0,0,0,A__company_size
A,company_size,firmographic,apertus-70b-instruct-2509,2,1,1,0,0,0,A__company_size
A,company_size,firmographic,apertus-70b-instruct-2509,3,1,1,0,0,0,A__company_size
A,company_size,firmographic,apertus-70b-instruct-2509,4,1,1,0,0,0,A__company_size
A,company_size,firmographic,apertus-70b-instruct-2509,5,1,1,0,0,0,A__company_size
A,company_size,firmographic,meta-llama-3.1-8b-instruct,1,1,1,0,0,0,A__company_size
A,company_size,firmographic,meta-llama-3.1-8b-instruct,2,1,1,0,0,0,A__company_size
A,company_size,firmographic,meta-llama-3.1-8b-instruct,3,1,1,0,0,0,A__company_size
A,company_size,firmographic,meta-llama-3.1-8b-instruct,4,0,1,-1,1,0,A__company_size
A,company_size,firmographic,meta-llama-3.1-8b-instruct,5,1,1,0,0,0,A__company_size
A,company_size,firmographic,openai-gpt-oss-120b,1,1,1,0,0,0,A__company_size
A,company_size,firmographic,openai-gpt-oss-120b,2,1,1,0,0,0,A__company_size
A,company_size,firmographic,openai-gpt-oss-120b,3,1,1,0,0,0,A__company_size
A,company_size,firmographic,openai-gpt-oss-120b,4,1,1,0,0,0,A__company_size
A,company_size,firmographic,openai-gpt-oss-120b,5,1,1,0,0,0,A__company_size
A,demo_requests,behavioral,apertus-70b-instruct-2509,1,1,0,1,1,1,A__demo_requests
A,demo_requests,behavioral,apertus-70b-instruct-2509,2,1,0,1,1,1,A__demo_requests
A,demo_requests,behavioral,apertus-70b-instruct-2509,3,1,0,1,1,1,A__demo_requests
A,demo_requests,behavioral,apertus-70b-instruct-2509,4,1,1,0,0,1,A__demo_requests
A,demo_requests,behavioral,apertus-70b-instruct-2509,5,1,1,0,0,1,A__demo_requests
A,demo_requests,behavioral,meta-llama-3.1-8b-instruct,1,1,0,1,1,1,A__demo_requests
A,demo_requests,behavioral,meta-llama-3.1-8b-instruct,2,1,0,1,1,1,A__demo_requests
A,demo_requests,behavioral,meta-llama-3.1-8b-instruct,3,1,0,1,1,1,A__demo_requests
A,demo_requests,behavioral,meta-llama-3.1-8b-instruct,4,1,0,1,1,1,A__demo_requests
A,demo_requests,behavioral,meta-llama-3.1-8b-instruct,5,1,0,1,1,1,A__demo_requests
A,demo_requests,behavioral,openai-gpt-oss-120b,1,1,0,1,1,1,A__demo_requests
A,demo_requests,behavioral,openai-gpt-oss-120b,2,1,0,1,1,1,A__demo_requests
A,demo_requests,behavioral,openai-gpt-oss-120b,3,1,0,1,1,1,A__demo_requests
A,demo_requests,behavioral,openai-gpt-oss-120b,4,1,0,1,1,1,A__demo_requests
A,demo_requests,behavioral,openai-gpt-oss-120b,5,1,0,1,1,1,A__demo_requests
A,email_response,behavioral,apertus-70b-instruct-2509,1,1,0,1,1,1,A__email_response
A,email_response,behavioral,apertus-70b-instruct-2509,2,1,0,1,1,1,A__email_response
A,email_response,behavioral,apertus-70b-instruct-2509,3,1,0,1,1,1,A__email_response
A,email_response,behavioral,apertus-70b-instruct-2509,4,1,0,1,1,1,A__email_response
A,email_response,behavioral,apertus-70b-instruct-2509,5,1,0,1,1,1,A__email_response
A,email_response,behavioral,meta-llama-3.1-8b-instruct,1,1,0,1,1,1,A__email_response
A,email_response,behavioral,meta-llama-3.1-8b-instruct,2,1,0,1,1,1,A__email_response
A,email_response,behavioral,meta-llama-3.1-8b-instruct,3,1,0,1,1,1,A__email_response
A,email_response,behavioral,meta-llama-3.1-8b-instruct,4,1,0,1,1,1,A__email_response
A,email_response,behavioral,meta-llama-3.1-8b-instruct,5,1,0,1,1,1,A__email_response
A,email_response,behavioral,openai-gpt-oss-120b,1,1,0,1,1,1,A__email_response
