profile_id,run,model,intent,reasoning,parse_error,latency_s
E_industry_icp,1,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 250, which is relatively small, and website dwell time is only 1 min, indicating limited interest in the content.",,0.98
D_industry_icp,1,openai-gpt-oss-120b,High Intent,Multiple demo_requests and a positive email response indicate strong purchase intent.,,2.69
A_demo_requests_high,4,openai-gpt-oss-120b,High Intent,Multiple demo_requests (3) and high website_dwell_time (4 min) indicate strong purchase intent.,,3.82
A_industry_icp,5,apertus-70b-instruct-2509,High Intent,High website dwell time (4 min) and demo request indicate strong interest. Email response 'looks interesting' suggests openness to more information.,,5.29
E_industry_non-icp,3,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 250, which is relatively small, and website dwell time is only 1 min, indicating limited interest in our services.",,3.59
E_industry_icp,5,apertus-70b-instruct-2509,High Intent,Company size (250) and industry (Software/IT) indicate a potential fit for our services. The demo request further suggests active interest.,,4.05
D_website_dwell_time_high,3,meta-llama-3.1-8b-instruct,High Intent,"Company size (1200) and demo requests (2) indicate a large organization with interest in our services, while the positive email response ('This looks relevant to our current initiatives.') further supports high purchase intent.",,4.31
B_company_size_low,1,openai-gpt-oss-120b,High Intent,Demo_requests=1 indicates strong interest despite low email_response and modest website_dwell_time=40s.,,2.85
E_region_icp,3,meta-llama-3.1-8b-instruct,Low Intent,"Company size of 250 and 1-minute website dwell time indicate a relatively small to medium-sized retail company, but only 1 demo request was made, which is not a strong purchase intent signal.",,3.75
C_email_response_non-icp,2,openai-gpt-oss-120b,Low Intent,email_response='We’re not interested' overrides positive signals from website_dwell_time=7min and demo_requests=2,,4.05
D_company_size_low,3,apertus-70b-instruct-2509,High Intent,High website dwell time (2.5 min) and multiple demo requests indicate strong interest. Email response also suggests relevance to current initiatives.,,5.56
E_region_icp,5,meta-llama-3.1-8b-instruct,Low Intent,"Company size of 250 and website dwell time of 1 min indicate limited engagement, while only 1 demo request was made.",,3.48
B_company_size_low,5,openai-gpt-oss-120b,High Intent,Demo requests=1 indicates strong purchase interest despite low email response and short dwell time.,,3.08
D_demo_requests_high,1,meta-llama-3.1-8b-instruct,High Intent,"Company size (1200) and demo requests (3) indicate a large organization with interest in the product, while the email response suggests a strong connection to current initiatives, supporting a high purchase intent.",,4.15
C_demo_requests_low,2,openai-gpt-oss-120b,High Intent,The very promising email_response indicating active evaluation outweighs the lack of demo requests.,,4.09
C_BASE,4,openai-gpt-oss-120b,High Intent,"Strong signals from demo_requests=2, email_response='very promising', and website_dwell_time=7min indicate active evaluation.",,4.36
E_demo_requests_low,3,apertus-70b-instruct-2509,Low Intent,"Company size 250 (medium) and industry Retail (common) with low engagement metrics (website dwell time 1 min, no demo requests, and no email response).",,4.58
C_website_dwell_time_low,1,meta-llama-3.1-8b-instruct,High Intent,"Company size is large (80), industry is Healthcare, and email response is very promising, indicating a strong interest in the solution.",,3.58
C_email_response_icp,5,meta-llama-3.1-8b-instruct,High Intent,"Company size is large (80), and the industry is Healthcare, which is a key focus area for our firm. The customer has also shown strong engagement with our website (7 min dwell time) and has requested two demos, indicating a high level of interest. Additionally, the customer has responded positively to an email, expressing a desire to schedule a meeting next week.",,3.0
C_website_dwell_time_high,4,apertus-70b-instruct-2509,High Intent,High website dwell time (10 min) and promising email response indicate strong interest. Company size (80) and industry (Healthcare) suggest potential for significant investment in analytics/AI solutions.,,5.91
E_industry_icp,5,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 250, which is relatively small, and website dwell time is only 1 min, indicating limited interest in the content.",,3.82
A_email_response_non-icp,3,apertus-70b-instruct-2509,Low Intent,"Email response indicates lack of interest, despite demo request and reasonable website dwell time.",,3.28
A_industry_non-icp,4,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 500, which is relatively small, and the industry is Public Service, which may have specific regulations. The dwell time is 4 minutes, which is average, and the demo request is 1, indicating some interest, but the email response is neutral, stating 'could you send more info', which does not indicate strong intent.",,4.15
A_email_response_non-icp,2,meta-llama-3.1-8b-instruct,Low Intent,"Company size (500) and industry (Finance) are neutral, but email response ('We’re not interested.') indicates low purchase intent.",,2.9
B_website_dwell_time_low,2,meta-llama-3.1-8b-instruct,Low Intent,"Company size is large, but website dwell time is short and there was no email response, indicating a lack of engagement.",,4.0
C_company_size_high,1,apertus-70b-instruct-2509,High Intent,"Company size (10000) and industry (Healthcare) suggest significant potential for data analytics and AI integration. Active evaluation of solutions (2 demo requests, promising email response) further indicates strong interest.",,5.93
