profile_id,model,base_profile,perturbation,perturbed_feature,n_explanations,n_code3,alignment_share,n_code0,n_code1,n_code2,complete_alignment,majority_score,baseline_majority_score,score_changed,n_score_runs,n_baseline_score_runs
A_company_size_high,apertus-70b-instruct-2509,A,company_size_high,company_size,5,5,1.0,0,0,0,1,1,1,0,5,5
A_company_size_high,meta-llama-3.1-8b-instruct,A,company_size_high,company_size,5,2,0.4,0,2,1,0,1,1,0,5,5
A_company_size_high,openai-gpt-oss-120b,A,company_size_high,company_size,5,0,0.0,5,0,0,0,1,1,0,5,5
A_company_size_low,apertus-70b-instruct-2509,A,company_size_low,company_size,5,0,0.0,0,5,0,0,1,1,0,5,5
A_company_size_low,meta-llama-3.1-8b-instruct,A,company_size_low,company_size,5,0,0.0,0,0,5,0,1,1,0,5,5
A_company_size_low,openai-gpt-oss-120b,A,company_size_low,company_size,5,0,0.0,4,0,1,0,1,1,0,5,5
A_demo_requests_high,apertus-70b-instruct-2509,A,demo_requests_high,demo_requests,5,5,1.0,0,0,0,1,1,1,0,5,5
A_demo_requests_high,meta-llama-3.1-8b-instruct,A,demo_requests_high,demo_requests,5,2,0.4,2,1,0,0,1,1,0,5,5
A_demo_requests_high,openai-gpt-oss-120b,A,demo_requests_high,demo_requests,5,5,1.0,0,0,0,1,1,1,0,5,5
A_demo_requests_low,apertus-70b-instruct-2509,A,demo_requests_low,demo_requests,5,3,0.6,2,0,0,0,0,1,1,5,5
A_demo_requests_low,meta-llama-3.1-8b-instruct,A,demo_requests_low,demo_requests,5,5,1.0,0,0,0,1,0,1,1,5,5
A_demo_requests_low,openai-gpt-oss-120b,A,demo_requests_low,demo_requests,5,5,1.0,0,0,0,1,0,1,1,5,5
A_email_response_icp,apertus-70b-instruct-2509,A,email_response_icp,email_response,5,5,1.0,0,0,0,1,1,1,0,5,5
A_email_response_icp,meta-llama-3.1-8b-instruct,A,email_response_icp,email_response,5,5,1.0,0,0,0,1,1,1,0,5,5
A_email_response_icp,openai-gpt-oss-120b,A,email_response_icp,email_response,5,5,1.0,0,0,0,1,1,1,0,5,5
A_email_response_non-icp,apertus-70b-instruct-2509,A,email_response_non-icp,email_response,5,5,1.0,0,0,0,1,0,1,1,5,5
A_email_response_non-icp,meta-llama-3.1-8b-instruct,A,email_response_non-icp,email_response,5,5,1.0,0,0,0,1,0,1,1,5,5
A_email_response_non-icp,openai-gpt-oss-120b,A,email_response_non-icp,email_response,5,5,1.0,0,0,0,1,0,1,1,5,5
A_industry_icp,apertus-70b-instruct-2509,A,industry_icp,industry,5,0,0.0,5,0,0,0,1,1,0,5,5
A_industry_icp,meta-llama-3.1-8b-instruct,A,industry_icp,industry,5,5,1.0,0,0,0,1,1,1,0,5,5
A_industry_icp,openai-gpt-oss-120b,A,industry_icp,industry,5,0,0.0,5,0,0,0,1,1,0,5,5
A_industry_non-icp,apertus-70b-instruct-2509,A,industry_non-icp,industry,5,4,0.8,1,0,0,0,1,1,0,5,5
A_industry_non-icp,meta-llama-3.1-8b-instruct,A,industry_non-icp,industry,5,5,1.0,0,0,0,1,0,1,1,5,5
A_industry_non-icp,openai-gpt-oss-120b,A,industry_non-icp,industry,5,0,0.0,5,0,0,0,1,1,0,5,5
A_region_icp,apertus-70b-instruct-2509,A,region_icp,region,5,0,0.0,5,0,0,0,1,1,0,5,5
A_region_icp,meta-llama-3.1-8b-instruct,A,region_icp,region,5,0,0.0,5,0,0,0,0,1,1,5,5
A_region_icp,openai-gpt-oss-120b,A,region_icp,region,5,0,0.0,5,0,0,0,1,1,0,5,5
A_region_non-icp,apertus-70b-instruct-2509,A,region_non-icp,region,5,0,0.0,5,0,0,0,1,1,0,5,5
A_region_non-icp,meta-llama-3.1-8b-instruct,A,region_non-icp,region,5,0,0.0,5,0,0,0,0,1,1,5,5
A_region_non-icp,openai-gpt-oss-120b,A,region_non-icp,region,5,0,0.0,5,0,0,0,1,1,0,5,5
A_website_dwell_time_high,apertus-70b-instruct-2509,A,website_dwell_time_high,website_dwell_time,5,5,1.0,0,0,0,1,1,1,0,5,5
A_website_dwell_time_high,meta-llama-3.1-8b-instruct,A,website_dwell_time_high,website_dwell_time,5,2,0.4,1,0,2,0,0,1,1,5,5
A_website_dwell_time_high,openai-gpt-oss-120b,A,website_dwell_time_high,website_dwell_time,5,5,1.0,0,0,0,1,1,1,0,5,5
A_website_dwell_time_low,apertus-70b-instruct-2509,A,website_dwell_time_low,website_dwell_time,5,0,0.0,5,0,0,0,1,1,0,5,5
A_website_dwell_time_low,meta-llama-3.1-8b-instruct,A,website_dwell_time_low,website_dwell_time,5,5,1.0,0,0,0,1,0,1,1,5,5
A_website_dwell_time_low,openai-gpt-oss-120b,A,website_dwell_time_low,website_dwell_time,5,3,0.6,0,0,2,0,0,1,1,5,5
B_company_size_high,apertus-70b-instruct-2509,B,company_size_high,company_size,5,0,0.0,5,0,0,0,0,0,0,5,5
B_company_size_high,meta-llama-3.1-8b-instruct,B,company_size_high,company_size,5,0,0.0,0,0,5,0,0,0,0,5,5
B_company_size_high,openai-gpt-oss-120b,B,company_size_high,company_size,5,0,0.0,5,0,0,0,1,1,0,5,5
B_company_size_low,apertus-70b-instruct-2509,B,company_size_low,company_size,5,0,0.0,0,5,0,0,0,0,0,5,5
B_company_size_low,meta-llama-3.1-8b-instruct,B,company_size_low,company_size,5,5,1.0,0,0,0,1,0,0,0,5,5
B_company_size_low,openai-gpt-oss-120b,B,company_size_low,company_size,5,0,0.0,5,0,0,0,1,1,0,5,5
B_demo_requests_high,apertus-70b-instruct-2509,B,demo_requests_high,demo_requests,5,5,1.0,0,0,0,1,0,0,0,5,5
B_demo_requests_high,meta-llama-3.1-8b-instruct,B,demo_requests_high,demo_requests,5,1,0.2,4,0,0,0,0,0,0,5,5
B_demo_requests_high,openai-gpt-oss-120b,B,demo_requests_high,demo_requests,5,5,1.0,0,0,0,1,1,1,0,5,5
B_demo_requests_low,apertus-70b-instruct-2509,B,demo_requests_low,demo_requests,5,5,1.0,0,0,0,1,0,0,0,5,5
B_demo_requests_low,meta-llama-3.1-8b-instruct,B,demo_requests_low,demo_requests,5,5,1.0,0,0,0,1,0,0,0,5,5
B_demo_requests_low,openai-gpt-oss-120b,B,demo_requests_low,demo_requests,5,5,1.0,0,0,0,1,0,1,1,5,5
B_email_response_icp,apertus-70b-instruct-2509,B,email_response_icp,email_response,5,5,1.0,0,0,0,1,1,0,1,5,5
B_email_response_icp,meta-llama-3.1-8b-instruct,B,email_response_icp,email_response,5,5,1.0,0,0,0,1,1,0,1,5,5
B_email_response_icp,openai-gpt-oss-120b,B,email_response_icp,email_response,5,5,1.0,0,0,0,1,1,1,0,5,5
B_email_response_non-icp,apertus-70b-instruct-2509,B,email_response_non-icp,email_response,5,5,1.0,0,0,0,1,0,0,0,5,5
B_email_response_non-icp,meta-llama-3.1-8b-instruct,B,email_response_non-icp,email_response,5,5,1.0,0,0,0,1,0,0,0,5,5
B_email_response_non-icp,openai-gpt-oss-120b,B,email_response_non-icp,email_response,5,5,1.0,0,0,0,1,0,1,1,5,5
B_industry_icp,apertus-70b-instruct-2509,B,industry_icp,industry,5,0,0.0,5,0,0,0,0,0,0,5,5
B_industry_icp,meta-llama-3.1-8b-instruct,B,industry_icp,industry,5,0,0.0,5,0,0,0,0,0,0,5,5
B_industry_icp,openai-gpt-oss-120b,B,industry_icp,industry,5,0,0.0,5,0,0,0,1,1,0,5,5
B_industry_non-icp,apertus-70b-instruct-2509,B,industry_non-icp,industry,5,0,0.0,2,0,3,0,0,0,0,5,5
B_industry_non-icp,meta-llama-3.1-8b-instruct,B,industry_non-icp,industry,5,0,0.0,5,0,0,0,0,0,0,5,5
B_industry_non-icp,openai-gpt-oss-120b,B,industry_non-icp,industry,5,0,0.0,5,0,0,0,1,1,0,5,5
B_region_icp,apertus-70b-instruct-2509,B,region_icp,region,5,0,0.0,5,0,0,0,0,0,0,5,5
B_region_icp,meta-llama-3.1-8b-instruct,B,region_icp,region,5,0,0.0,5,0,0,0,0,0,0,5,5
B_region_icp,openai-gpt-oss-120b,B,region_icp,region,5,0,0.0,5,0,0,0,1,1,0,5,5
B_region_non-icp,apertus-70b-instruct-2509,B,region_non-icp,region,5,0,0.0,5,0,0,0,0,0,0,5,5
B_region_non-icp,meta-llama-3.1-8b-instruct,B,region_non-icp,region,5,0,0.0,5,0,0,0,0,0,0,5,5
B_region_non-icp,openai-gpt-oss-120b,B,region_non-icp,region,5,0,0.0,5,0,0,0,1,1,0,5,5
B_website_dwell_time_high,apertus-70b-instruct-2509,B,website_dwell_time_high,website_dwell_time,5,2,0.4,3,0,0,0,0,0,0,5,5
B_website_dwell_time_high,meta-llama-3.1-8b-instruct,B,website_dwell_time_high,website_dwell_time,5,5,1.0,0,0,0,1,0,0,0,5,5
B_website_dwell_time_high,openai-gpt-oss-120b,B,website_dwell_time_high,website_dwell_time,5,5,1.0,0,0,0,1,1,1,0,5,5
B_website_dwell_time_low,apertus-70b-instruct-2509,B,website_dwell_time_low,website_dwell_time,5,3,0.6,0,2,0,0,0,0,0,5,5
B_website_dwell_time_low,meta-llama-3.1-8b-instruct,B,website_dwell_time_low,website_dwell_time,5,5,1.0,0,0,0,1,0,0,0,5,5
B_website_dwell_time_low,openai-gpt-oss-120b,B,website_dwell_time_low,website_dwell_time,5,5,1.0,0,0,0,1,0,1,1,5,5
C_company_size_high,apertus-70b-instruct-2509,C,company_size_high,company_size,5,5,1.0,0,0,0,1,1,1,0,5,5
C_company_size_high,meta-llama-3.1-8b-instruct,C,company_size_high,company_size,5,5,1.0,0,0,0,1,1,1,0,5,5
C_company_size_high,openai-gpt-oss-120b,C,company_size_high,company_size,5,0,0.0,5,0,0,0,1,1,0,5,5
C_company_size_low,apertus-70b-instruct-2509,C,company_size_low,company_size,5,5,1.0,0,0,0,1,1,1,0,5,5
C_company_size_low,meta-llama-3.1-8b-instruct,C,company_size_low,company_size,5,5,1.0,0,0,0,1,1,1,0,5,5
C_company_size_low,openai-gpt-oss-120b,C,company_size_low,company_size,5,0,0.0,5,0,0,0,1,1,0,5,5
C_demo_requests_high,apertus-70b-instruct-2509,C,demo_requests_high,demo_requests,5,5,1.0,0,0,0,1,1,1,0,5,5
C_demo_requests_high,meta-llama-3.1-8b-instruct,C,demo_requests_high,demo_requests,5,5,1.0,0,0,0,1,1,1,0,5,5
C_demo_requests_high,openai-gpt-oss-120b,C,demo_requests_high,demo_requests,5,5,1.0,0,0,0,1,1,1,0,5,5
C_demo_requests_low,apertus-70b-instruct-2509,C,demo_requests_low,demo_requests,5,0,0.0,5,0,0,0,1,1,0,5,5
C_demo_requests_low,meta-llama-3.1-8b-instruct,C,demo_requests_low,demo_requests,5,0,0.0,4,0,1,0,1,1,0,5,5
C_demo_requests_low,openai-gpt-oss-120b,C,demo_requests_low,demo_requests,5,0,0.0,2,0,3,0,1,1,0,5,5
C_email_response_icp,apertus-70b-instruct-2509,C,email_response_icp,email_response,5,5,1.0,0,0,0,1,1,1,0,5,5
C_email_response_icp,meta-llama-3.1-8b-instruct,C,email_response_icp,email_response,5,3,0.6,0,2,0,0,1,1,0,5,5
C_email_response_icp,openai-gpt-oss-120b,C,email_response_icp,email_response,5,5,1.0,0,0,0,1,1,1,0,5,5
C_email_response_non-icp,apertus-70b-instruct-2509,C,email_response_non-icp,email_response,5,5,1.0,0,0,0,1,0,1,1,5,5
C_email_response_non-icp,meta-llama-3.1-8b-instruct,C,email_response_non-icp,email_response,5,5,1.0,0,0,0,1,0,1,1,5,5
C_email_response_non-icp,openai-gpt-oss-120b,C,email_response_non-icp,email_response,5,3,0.6,0,0,2,0,0,1,1,5,5
