profile_id,base_profile,feature,is_baseline,model,n_runs,modal_count,mar,n_unique_outputs
A_BASE,A,baseline,True,apertus-70b-instruct-2509,5,5,1.0,1
A_BASE,A,baseline,True,meta-llama-3.1-8b-instruct,5,5,1.0,1
A_BASE,A,baseline,True,openai-gpt-oss-120b,5,5,1.0,1
A_company_size_high,A,company_size,False,apertus-70b-instruct-2509,5,5,1.0,1
A_company_size_high,A,company_size,False,meta-llama-3.1-8b-instruct,5,4,0.8,2
A_company_size_high,A,company_size,False,openai-gpt-oss-120b,5,5,1.0,1
A_company_size_low,A,company_size,False,apertus-70b-instruct-2509,5,5,1.0,1
A_company_size_low,A,company_size,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
A_company_size_low,A,company_size,False,openai-gpt-oss-120b,5,5,1.0,1
A_demo_requests_high,A,demo_requests,False,apertus-70b-instruct-2509,5,5,1.0,1
A_demo_requests_high,A,demo_requests,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
A_demo_requests_high,A,demo_requests,False,openai-gpt-oss-120b,5,5,1.0,1
A_demo_requests_low,A,demo_requests,False,apertus-70b-instruct-2509,5,3,0.6,2
A_demo_requests_low,A,demo_requests,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
A_demo_requests_low,A,demo_requests,False,openai-gpt-oss-120b,5,5,1.0,1
A_email_response_icp,A,email_response,False,apertus-70b-instruct-2509,5,5,1.0,1
A_email_response_icp,A,email_response,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
A_email_response_icp,A,email_response,False,openai-gpt-oss-120b,5,5,1.0,1
A_email_response_non-icp,A,email_response,False,apertus-70b-instruct-2509,5,5,1.0,1
A_email_response_non-icp,A,email_response,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
A_email_response_non-icp,A,email_response,False,openai-gpt-oss-120b,5,5,1.0,1
A_industry_icp,A,industry,False,apertus-70b-instruct-2509,5,5,1.0,1
A_industry_icp,A,industry,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
A_industry_icp,A,industry,False,openai-gpt-oss-120b,5,5,1.0,1
A_industry_non-icp,A,industry,False,apertus-70b-instruct-2509,5,5,1.0,1
A_industry_non-icp,A,industry,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
A_industry_non-icp,A,industry,False,openai-gpt-oss-120b,5,5,1.0,1
A_region_icp,A,region,False,apertus-70b-instruct-2509,5,5,1.0,1
A_region_icp,A,region,False,meta-llama-3.1-8b-instruct,5,3,0.6,2
A_region_icp,A,region,False,openai-gpt-oss-120b,5,5,1.0,1
A_region_non-icp,A,region,False,apertus-70b-instruct-2509,5,5,1.0,1
A_region_non-icp,A,region,False,meta-llama-3.1-8b-instruct,5,3,0.6,2
A_region_non-icp,A,region,False,openai-gpt-oss-120b,5,5,1.0,1
A_website_dwell_time_high,A,website_dwell_time,False,apertus-70b-instruct-2509,5,5,1.0,1
A_website_dwell_time_high,A,website_dwell_time,False,meta-llama-3.1-8b-instruct,5,3,0.6,2
A_website_dwell_time_high,A,website_dwell_time,False,openai-gpt-oss-120b,5,5,1.0,1
A_website_dwell_time_low,A,website_dwell_time,False,apertus-70b-instruct-2509,5,5,1.0,1
A_website_dwell_time_low,A,website_dwell_time,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
A_website_dwell_time_low,A,website_dwell_time,False,openai-gpt-oss-120b,5,3,0.6,2
B_BASE,B,baseline,True,apertus-70b-instruct-2509,5,5,1.0,1
B_BASE,B,baseline,True,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_BASE,B,baseline,True,openai-gpt-oss-120b,5,4,0.8,2
B_company_size_high,B,company_size,False,apertus-70b-instruct-2509,5,5,1.0,1
B_company_size_high,B,company_size,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_company_size_high,B,company_size,False,openai-gpt-oss-120b,5,4,0.8,2
B_company_size_low,B,company_size,False,apertus-70b-instruct-2509,5,5,1.0,1
B_company_size_low,B,company_size,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_company_size_low,B,company_size,False,openai-gpt-oss-120b,5,5,1.0,1
B_demo_requests_high,B,demo_requests,False,apertus-70b-instruct-2509,5,5,1.0,1
B_demo_requests_high,B,demo_requests,False,meta-llama-3.1-8b-instruct,5,4,0.8,2
B_demo_requests_high,B,demo_requests,False,openai-gpt-oss-120b,5,5,1.0,1
B_demo_requests_low,B,demo_requests,False,apertus-70b-instruct-2509,5,5,1.0,1
B_demo_requests_low,B,demo_requests,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_demo_requests_low,B,demo_requests,False,openai-gpt-oss-120b,5,5,1.0,1
B_email_response_icp,B,email_response,False,apertus-70b-instruct-2509,5,5,1.0,1
B_email_response_icp,B,email_response,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_email_response_icp,B,email_response,False,openai-gpt-oss-120b,5,5,1.0,1
B_email_response_non-icp,B,email_response,False,apertus-70b-instruct-2509,5,5,1.0,1
B_email_response_non-icp,B,email_response,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_email_response_non-icp,B,email_response,False,openai-gpt-oss-120b,5,5,1.0,1
B_industry_icp,B,industry,False,apertus-70b-instruct-2509,5,5,1.0,1
B_industry_icp,B,industry,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_industry_icp,B,industry,False,openai-gpt-oss-120b,5,5,1.0,1
