profile_id,model,feature,feature_type,n_unique_values,n_runs,run_pattern,outcome,unstable
A_company_size_high,apertus-70b-instruct-2509,company_size,Firmographic,1,5,1|1|1|1|1,Score,0
A_company_size_high,meta-llama-3.1-8b-instruct,company_size,Firmographic,2,5,1|1|1|0|1,Score,1
A_company_size_high,openai-gpt-oss-120b,company_size,Firmographic,1,5,1|1|1|1|1,Score,0
A_company_size_low,apertus-70b-instruct-2509,company_size,Firmographic,1,5,1|1|1|1|1,Score,0
A_company_size_low,meta-llama-3.1-8b-instruct,company_size,Firmographic,1,5,1|1|1|1|1,Score,0
A_company_size_low,openai-gpt-oss-120b,company_size,Firmographic,1,5,1|1|1|1|1,Score,0
A_demo_requests_high,apertus-70b-instruct-2509,demo_requests,Behavioral,1,5,1|1|1|1|1,Score,0
A_demo_requests_high,meta-llama-3.1-8b-instruct,demo_requests,Behavioral,1,5,1|1|1|1|1,Score,0
A_demo_requests_high,openai-gpt-oss-120b,demo_requests,Behavioral,1,5,1|1|1|1|1,Score,0
A_demo_requests_low,apertus-70b-instruct-2509,demo_requests,Behavioral,2,5,0|0|0|1|1,Score,1
A_demo_requests_low,meta-llama-3.1-8b-instruct,demo_requests,Behavioral,1,5,0|0|0|0|0,Score,0
A_demo_requests_low,openai-gpt-oss-120b,demo_requests,Behavioral,1,5,0|0|0|0|0,Score,0
A_email_response_icp,apertus-70b-instruct-2509,email_response,Behavioral,1,5,1|1|1|1|1,Score,0
A_email_response_icp,meta-llama-3.1-8b-instruct,email_response,Behavioral,1,5,1|1|1|1|1,Score,0
A_email_response_icp,openai-gpt-oss-120b,email_response,Behavioral,1,5,1|1|1|1|1,Score,0
A_email_response_non-icp,apertus-70b-instruct-2509,email_response,Behavioral,1,5,0|0|0|0|0,Score,0
A_email_response_non-icp,meta-llama-3.1-8b-instruct,email_response,Behavioral,1,5,0|0|0|0|0,Score,0
A_email_response_non-icp,openai-gpt-oss-120b,email_response,Behavioral,1,5,0|0|0|0|0,Score,0
A_industry_icp,apertus-70b-instruct-2509,industry,Firmographic,1,5,1|1|1|1|1,Score,0
A_industry_icp,meta-llama-3.1-8b-instruct,industry,Firmographic,1,5,1|1|1|1|1,Score,0
A_industry_icp,openai-gpt-oss-120b,industry,Firmographic,1,5,1|1|1|1|1,Score,0
A_industry_non-icp,apertus-70b-instruct-2509,industry,Firmographic,1,5,1|1|1|1|1,Score,0
A_industry_non-icp,meta-llama-3.1-8b-instruct,industry,Firmographic,1,5,0|0|0|0|0,Score,0
A_industry_non-icp,openai-gpt-oss-120b,industry,Firmographic,1,5,1|1|1|1|1,Score,0
A_region_icp,apertus-70b-instruct-2509,region,Firmographic,1,5,1|1|1|1|1,Score,0
A_region_icp,meta-llama-3.1-8b-instruct,region,Firmographic,2,5,0|1|0|0|1,Score,1
A_region_icp,openai-gpt-oss-120b,region,Firmographic,1,5,1|1|1|1|1,Score,0
A_region_non-icp,apertus-70b-instruct-2509,region,Firmographic,1,5,1|1|1|1|1,Score,0
A_region_non-icp,meta-llama-3.1-8b-instruct,region,Firmographic,2,5,0|0|1|0|1,Score,1
A_region_non-icp,openai-gpt-oss-120b,region,Firmographic,1,5,1|1|1|1|1,Score,0
A_website_dwell_time_high,apertus-70b-instruct-2509,website_dwell_time,Behavioral,1,5,1|1|1|1|1,Score,0
A_website_dwell_time_high,meta-llama-3.1-8b-instruct,website_dwell_time,Behavioral,2,5,1|0|1|0|0,Score,1
A_website_dwell_time_high,openai-gpt-oss-120b,website_dwell_time,Behavioral,1,5,1|1|1|1|1,Score,0
A_website_dwell_time_low,apertus-70b-instruct-2509,website_dwell_time,Behavioral,1,5,1|1|1|1|1,Score,0
A_website_dwell_time_low,meta-llama-3.1-8b-instruct,website_dwell_time,Behavioral,1,5,0|0|0|0|0,Score,0
A_website_dwell_time_low,openai-gpt-oss-120b,website_dwell_time,Behavioral,2,5,0|0|1|1|0,Score,1
B_company_size_high,apertus-70b-instruct-2509,company_size,Firmographic,1,5,0|0|0|0|0,Score,0
B_company_size_high,meta-llama-3.1-8b-instruct,company_size,Firmographic,1,5,0|0|0|0|0,Score,0
B_company_size_high,openai-gpt-oss-120b,company_size,Firmographic,2,5,1|1|1|0|1,Score,1
B_company_size_low,apertus-70b-instruct-2509,company_size,Firmographic,1,5,0|0|0|0|0,Score,0
