outcome,n_runs,n_unique_categories,fully_stable,any_instability,modal_share,instability,n_modal_categories,mode_tie,modal_categories,run_pattern,profile_id,model,n_code_0,n_code_1,n_code_2,n_code_3
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,A_company_size_high,apertus-70b-instruct-2509,0,0,0,5
explanation,5,3,0,1,0.4,0.6,2,1,1|3,3|3|1|2|1,A_company_size_high,meta-llama-3.1-8b-instruct,0,2,1,2
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,A_company_size_high,openai-gpt-oss-120b,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,A_company_size_low,apertus-70b-instruct-2509,0,5,0,0
explanation,5,1,1,0,1.0,0.0,1,0,2,2|2|2|2|2,A_company_size_low,meta-llama-3.1-8b-instruct,0,0,5,0
explanation,5,2,0,1,0.8,0.19999999999999996,1,0,0,0|0|2|0|0,A_company_size_low,openai-gpt-oss-120b,4,0,1,0
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,A_demo_requests_high,apertus-70b-instruct-2509,0,0,0,5
explanation,5,3,0,1,0.4,0.6,2,1,0|3,1|0|3|0|3,A_demo_requests_high,meta-llama-3.1-8b-instruct,2,1,0,2
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,A_demo_requests_high,openai-gpt-oss-120b,0,0,0,5
explanation,5,2,0,1,0.6,0.4,1,0,3,3|3|3|0|0,A_demo_requests_low,apertus-70b-instruct-2509,2,0,0,3
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,A_demo_requests_low,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,A_demo_requests_low,openai-gpt-oss-120b,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,A_email_response_icp,apertus-70b-instruct-2509,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,A_email_response_icp,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,A_email_response_icp,openai-gpt-oss-120b,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,A_email_response_non-icp,apertus-70b-instruct-2509,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,A_email_response_non-icp,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,A_email_response_non-icp,openai-gpt-oss-120b,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,A_industry_icp,apertus-70b-instruct-2509,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,A_industry_icp,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,A_industry_icp,openai-gpt-oss-120b,5,0,0,0
explanation,5,2,0,1,0.8,0.19999999999999996,1,0,3,3|3|0|3|3,A_industry_non-icp,apertus-70b-instruct-2509,1,0,0,4
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,A_industry_non-icp,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,A_industry_non-icp,openai-gpt-oss-120b,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,A_region_icp,apertus-70b-instruct-2509,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,A_region_icp,meta-llama-3.1-8b-instruct,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,A_region_icp,openai-gpt-oss-120b,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,A_region_non-icp,apertus-70b-instruct-2509,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,A_region_non-icp,meta-llama-3.1-8b-instruct,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,A_region_non-icp,openai-gpt-oss-120b,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,A_website_dwell_time_high,apertus-70b-instruct-2509,0,0,0,5
explanation,5,3,0,1,0.4,0.6,2,1,2|3,3|0|3|2|2,A_website_dwell_time_high,meta-llama-3.1-8b-instruct,1,0,2,2
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,A_website_dwell_time_high,openai-gpt-oss-120b,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,A_website_dwell_time_low,apertus-70b-instruct-2509,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,A_website_dwell_time_low,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,2,0,1,0.6,0.4,1,0,3,3|3|2|2|3,A_website_dwell_time_low,openai-gpt-oss-120b,0,0,2,3
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_company_size_high,apertus-70b-instruct-2509,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,2,2|2|2|2|2,B_company_size_high,meta-llama-3.1-8b-instruct,0,0,5,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_company_size_high,openai-gpt-oss-120b,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,B_company_size_low,apertus-70b-instruct-2509,0,5,0,0
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,B_company_size_low,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_company_size_low,openai-gpt-oss-120b,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,B_demo_requests_high,apertus-70b-instruct-2509,0,0,0,5
explanation,5,2,0,1,0.8,0.19999999999999996,1,0,0,0|0|3|0|0,B_demo_requests_high,meta-llama-3.1-8b-instruct,4,0,0,1
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,B_demo_requests_high,openai-gpt-oss-120b,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,B_demo_requests_low,apertus-70b-instruct-2509,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,B_demo_requests_low,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,B_demo_requests_low,openai-gpt-oss-120b,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,B_email_response_icp,apertus-70b-instruct-2509,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,B_email_response_icp,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,B_email_response_icp,openai-gpt-oss-120b,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,B_email_response_non-icp,apertus-70b-instruct-2509,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,B_email_response_non-icp,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,B_email_response_non-icp,openai-gpt-oss-120b,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_industry_icp,apertus-70b-instruct-2509,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_industry_icp,meta-llama-3.1-8b-instruct,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_industry_icp,openai-gpt-oss-120b,5,0,0,0
explanation,5,2,0,1,0.6,0.4,1,0,2,2|2|0|2|0,B_industry_non-icp,apertus-70b-instruct-2509,2,0,3,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_industry_non-icp,meta-llama-3.1-8b-instruct,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_industry_non-icp,openai-gpt-oss-120b,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_region_icp,apertus-70b-instruct-2509,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_region_icp,meta-llama-3.1-8b-instruct,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_region_icp,openai-gpt-oss-120b,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_region_non-icp,apertus-70b-instruct-2509,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_region_non-icp,meta-llama-3.1-8b-instruct,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_region_non-icp,openai-gpt-oss-120b,5,0,0,0
explanation,5,2,0,1,0.6,0.4,1,0,0,3|0|0|3|0,B_website_dwell_time_high,apertus-70b-instruct-2509,3,0,0,2
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,B_website_dwell_time_high,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,B_website_dwell_time_high,openai-gpt-oss-120b,0,0,0,5
explanation,5,2,0,1,0.6,0.4,1,0,3,1|1|3|3|3,B_website_dwell_time_low,apertus-70b-instruct-2509,0,2,0,3
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,B_website_dwell_time_low,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,B_website_dwell_time_low,openai-gpt-oss-120b,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,C_company_size_high,apertus-70b-instruct-2509,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,C_company_size_high,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,C_company_size_high,openai-gpt-oss-120b,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,C_company_size_low,apertus-70b-instruct-2509,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,C_company_size_low,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,C_company_size_low,openai-gpt-oss-120b,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,C_demo_requests_high,apertus-70b-instruct-2509,0,0,0,5
