prompt_version,case_id,dominant_intent,stability_rate,format_ok_rate,avg_latency_s,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_reasoning_wds,parse_errors
v1,1,High Intent,100%,100%,0.9,173.0,145.4,318.4,103.8,0
v1,14,Low Intent,100%,100%,0.6,168.0,102.4,270.4,66.8,0
v1,27,High Intent,100%,100%,0.9,176.0,148.8,324.8,103.0,0
v2,1,Low Intent,100%,100%,0.6,173.0,72.6,245.6,45.0,0
v2,14,Low Intent,100%,100%,0.6,169.0,83.6,252.6,55.4,0
v2,27,High Intent,100%,100%,0.4,176.0,60.8,236.8,35.8,0
v3,1,Low Intent,100%,100%,0.9,203.0,137.4,340.4,99.8,0
v3,14,Low Intent,100%,100%,0.9,198.0,139.8,337.8,98.4,0
v3,27,High Intent,100%,100%,0.8,206.0,130.6,336.6,95.2,0
v4,1,High Intent,100%,100%,1.3,197.0,145.6,342.6,110.8,0
v4,14,Low Intent,100%,100%,0.9,192.0,118.4,310.4,84.8,0
v4,27,High Intent,100%,100%,1.0,200.0,134.6,334.6,102.0,0
v5,1,High Intent,100%,100%,0.5,188.0,57.6,245.6,32.8,0
v5,14,Low Intent,100%,100%,0.6,184.0,49.2,233.2,25.2,0
v5,27,High Intent,100%,100%,1.2,191.0,92.4,283.4,58.8,0
